Q8TBF5,Q8TBF4
Q9C040,Q15904
P51522,P31946
Q53GT1,Q96PU4
Q86YT6,Q15800
O15075,Q9Y3E0
P59910,P16455
Q9NWH7,Q9BTL4
P09017,Q9UI36
Q6NUS8,Q99471
Q13131,Q5EBL8
Q14213,Q9BV19
Q14344,Q8IY34
Q9H4I8,Q15818
Q96J87,Q96QD9
O14678,Q8WV99
P46087,O00295
Q92521,Q08289
Q9NS98,O75718
O14610,Q96MM3
O15105,Q15270
Q8WYK2,Q92637
Q9UMX2,Q5W188
P25440,Q14520
P31274,B2RUY7
Q9BT78,P33176
Q15424,P10124
P55211,Q13253
Q99437,Q9H1A7
Q5VZY2,P80303
P30046,P55291
Q9NV88,Q8WWY3
Q9Y5Y4,Q5VTQ0
P16333,O75594
Q05513,P67809
Q5XUX0,Q96QD9
O75920,Q6Q8B3
P63126,Q7RTU0
Q9P0N8,P17023
O00400,P24387
Q86WQ0,P22362
A0A0G2JMI3,A0A0U1RQI7
Q9UKU6,O14645
H0Y354,Q9NPF4
P38117,Q6XD76
Q9UGI0,Q01538
Q13630,Q92575
P98088,O15519
P08603,Q16555
Q9C098,O75170
Q9H2D1,Q96HR8
P49019,P15289
Q96HP0,Q05639
Q9BZE4,Q12857
Q8IWW6,Q8IUR0
Q92611,P16581
A0A075B6K4,Q8WWY7
Q09472,Q6L8G4
P08582,O00124
Q03188,Q96I27
P09093,A8MTJ6
Q8NAP8,P43234
Q8NG57,Q9Y5X0
Q96SZ5,P09912
Q96NZ8,Q9Y3B9
Q96B45,O75293
Q8NBZ0,O14593
Q96M11,Q9Y5X1
Q9NPY3,P13667
A6NHC0,Q96EL2
Q9NUG4,Q5SQQ9
Q9Y5K5,P80303
O60245,P32243
Q9UF11,Q5PRF9
P05129,A0A0C4DH73
Q96G21,P35348
Q8WUH2,Q05195
Q8IWE4,O95147
Q9NXB0,Q9HCH3
Q6A162,O95190
O43813,Q53S33
P49715,Q969V4
Q99611,Q9UK76
Q96K12,Q8TDV2
P56159,O94813
P48547,Q96S15
Q04844,Q9BRX9
Q9UPV9,Q9BUL5
Q16663,A0PJZ3
A0A1W2PPM1,Q9NWK9
Q9UMS4,Q9H568
Q8NBV8,Q96BY7
Q8N1H7,Q6PH85
Q9H4Z3,Q9UHG0
P78382,Q969Z0
Q9Y508,Q96QF0
Q01629,Q16666
Q10472,Q9NTJ3
Q8NES8,P06028
P04004,Q9H3K6
P60413,Q9H974
Q15910,Q8NE28
Q8NCL4,Q53R12
O95716,P15882
Q8WWV6,Q9BRQ6
P04085,Q9H7C9
Q2M2H8,Q8IZK6
Q5T1A1,Q6ICI0
Q86UG4,Q8NF99
P56962,Q9BYR2
Q86UD3,P52597
P19827,Q13416
Q9Y2H6,O15551
Q8NGL3,Q9BY66
Q03431,Q9H4R4
A1A5D9,Q8NH70
P11021,P47872
Q9NZ32,P84101
Q9P2J8,Q96ER3
P35869,Q9Y222
Q6ZNH5,P51681
P23142,A8MU46
Q15942,Q14CZ7
Q9NRX4,O95415
Q8TBZ2,P61326
Q8TCT0,Q6UXZ3
Q96B26,Q58F21
Q8N3F8,P98187
O15499,Q02080
Q8TDW7,Q8NBP5
Q9H160,P56537
Q8NHC4,Q53H80
O14925,Q96FJ0
Q96T76,P0CI00
O00244,P31150
O15460,Q969Z3
P10643,Q8TCG1
Q8WUF8,O00178
Q02224,Q32P41
Q5TB30,Q8TDF5
Q76LX8,Q8TDH9
Q16762,P52435
Q15154,Q9BRU9
Q99638,Q6P3W7
A0A0B4J248,Q9H172
Q6P9H5,Q14254
P52738,Q5UIP0
Q5VX71,Q8IYU4
Q9H310,O43402
Q7Z6K4,Q15650
Q8N8Y5,P49757
Q5EG05,Q9H9L3
Q8NEF9,P21912
P17658,Q9H3U7
Q8IZ52,P02452
Q9UJ72,Q13477
Q9H3F6,O75140
A6NHG4,P35637
Q15672,P0CG47
Q9BRK0,O75586
Q92519,Q2VPB7
Q9UBS4,P00488
Q9NQ03,P25100
Q9UL59,Q13162
Q8TDB6,P50226
Q12934,P10323
A0A0C4DH28,P47989
Q499Z4,Q9BZD4
Q2VPA4,Q5VVQ6
P16885,Q04741
Q9BQ51,P19971
Q9NZI7,Q96LD1
Q9Y2C4,O94875
Q6WKZ4,P06850
Q6AWC2,Q96RP9
Q03431,A5D8W1
A0A0B4J1U4,Q9UBC7
Q8TBY9,Q8WTR2
Q14012,Q14139
Q9H6D3,P01594
Q9H156,Q16827
Q9NR19,Q9ULI4
P0CW18,Q86UN6
Q86UP6,O14796
O94804,Q9H269
O95704,Q08945
Q9BZE2,P16444
Q9Y261,Q9BZ76
Q9BYQ2,O94788
O60243,Q8NGX8
A0A0B4J2F2,Q16543
Q9NRC1,Q8WV07
Q9NUQ8,Q8IZL8
O15520,Q9BWP8
Q9Y5F3,Q86W33
Q8NBI2,Q96L96
Q8N1L4,Q969G9
Q9NWQ8,P56696
Q6PIV2,Q13618
Q8N158,Q9Y375
Q5SV97,Q6UX04
Q2MKA7,P10451
Q8IUG1,P09525
Q8N3X1,O94905
O43903,Q9UMS0
Q92503,Q92496
Q9H161,P41229
P15516,P30518
Q9BSF4,Q9H5L6
Q96S06,O60637
O43361,Q86WC4
P51790,P42785
Q96PP9,Q99653
Q68DE3,P14679
Q3SY84,Q96AY2
Q06495,Q9H008
O95758,Q5VT66
Q9H255,Q9UMN6
O60331,P21953
Q9Y694,Q12866
Q6ZSS3,Q9BVG8
Q9H305,Q8IYB3
P14136,Q9NQS3
Q99593,O60356
Q9UM13,O75829
P05186,Q9H2U9
P80217,Q6PI26
O95772,P15144
Q9ULY5,Q9UIM3
P78344,Q8TDZ2
Q9HAJ7,Q8TF65
Q9H6P5,P52306
Q9BXI3,Q6ZMY3
O95757,Q8TD26
Q6IF36,Q8WWB5
O00237,Q9Y3D9
Q9NRA2,Q6NUN9
O60225,Q9Y2T7
Q5JXC2,P19338
P25705,Q8TF62
Q96CT7,Q969G9
Q8NI60,P56693
P05783,A6NLX3
Q9UHR4,O15484
P32926,Q13740
P62380,P54803
Q6NUS8,Q2T9K0
Q9NR64,Q14999
A5PLL7,P31358
Q6XPS3,Q8WX77
Q9NY74,O14545
P51993,P62906
P31269,A0A0U1RQE8
Q9UKK9,Q9NR97
Q6ZN30,Q8WV44
Q2M1K9,Q9NRC8
Q969P0,Q9Y446
O14558,Q9H2H8
Q9H1C3,P35442
P27348,Q2KHT4
Q9NRH3,Q06136
Q7Z7K6,Q9H1Z8
Q8IYR0,Q96BN8
Q6P9F7,P55196
Q96D53,Q9Y376
Q9NWS6,Q9Y3P9
Q01151,A0A087WT03
Q14164,Q86Y01
Q7Z5Y7,O14715
Q9BZR8,P01814
Q9BRB3,Q96AM1
P48751,O75096
Q2TAC6,P61073
Q96J42,Q495T6
M0QZC1,Q8NH05
Q8IZC6,O15145
Q5SWL8,Q9UKW6
P01298,O43812
O75888,P32302
P62316,Q07001
P06753,Q9UNX3
O95825,O75937
Q8N912,Q96D71
Q9UN73,Q6P1X5
Q9UQR0,B7Z6K7
A3KMH1,O94844
P42772,Q9NR55
Q8NGF8,Q9Y5F6
Q9H0J4,Q8N9M5
Q9C0G0,Q8WVZ1
Q96FC9,A6NDD5
P61366,O75140
Q3KQU3,P14784
Q8IYA8,Q8N436
O75751,Q6UWB1
P18283,Q6IPR1
Q86UU1,O75503
P34130,Q9NP50
Q9NVE5,Q69YH5
O00479,P37288
Q86YB7,O43264
P11168,O00311
A8K7I4,P36537
C9J202,P80297
Q9BY21,Q9Y4I5
Q8N8Y2,P34096
Q86Y46,A2RU54
Q07092,P46952
Q8N584,Q5JRS4
P07510,Q06210
O75563,P05154
Q96Q27,Q86Y07
Q96BM9,A8MVZ5
Q12799,Q53H82
A1A580,Q9BQD3
P31277,O00151
Q15506,A0A1B0GW35
Q08AF8,Q8N8J7
Q13115,Q8WXC6
Q9NPG2,O14880
Q8IWK6,Q8TEQ6
O95562,Q8WXI8
Q15654,O95159
A0A0C4DH69,P33993
Q14209,Q15468
P15291,Q9H1B7
O14578,Q9Y6B2
Q9H2Y7,Q8IY95
Q96D46,Q13310
Q01453,Q96K19
Q8NEM0,P0DJD9
Q6UW10,A0A0K0K1E9
Q7L3V2,P68032
Q15493,Q6NZY7
P55854,Q495T6
Q9NXR8,Q9H4I0
P37837,Q49MG5
Q96MP8,Q8N5C8
Q30201,Q96NL3
P31153,O15205
Q0JRZ9,A6NDN3
Q70Z44,Q99466
P20273,O95299
Q8WVD3,O60806
Q86Y07,Q16181
Q8TDB6,Q6IN85
Q8WXJ9,Q9NSE2
P23409,Q6PCB0
Q9NQZ5,Q9P2J3
Q8TEW6,Q8WTQ1
Q99614,Q2NKQ1
O43736,Q01201
Q86UA6,P25208
Q5BKZ1,P0DOY2
Q9UBC1,Q9UK41
P33151,Q86VX2
P33121,Q9BR84
Q6P9B9,O43396
Q9HBG7,Q13162
O75208,P23634
Q9UI12,Q1HG43
Q14781,P41134
Q6ZNE5,P02654
Q06141,Q6NUT3
Q2Y0W8,Q02535
Q6XQN6,O43927
P04432,P48165
Q3SY56,Q15818
Q8TDI7,O43439
O94956,O60291
Q13487,Q8NBF2
P12644,Q96C36
Q92608,Q16595
Q15648,Q15771
A6NHS7,P0C7U0
Q9Y666,Q9BX68
A8MV65,Q8NFU7
P35318,Q9HA64
Q9P2K5,O76096
P0CG39,O00443
Q96Q77,Q12884
Q9BT67,Q9P1U0
Q9P2B4,Q00597
Q8N8Q3,O75900
Q6ZTB9,O95863
Q2M3X9,Q8TB72
Q5GH72,P02647
Q96C10,A0A1B0GW35
Q8IU60,P60371
Q92752,Q9HCC9
Q7Z7C8,Q9NYW3
Q9UHF4,Q9NQX7
P60508,Q9P202
P55001,Q8IZJ3
Q96QC0,Q9NTX5
P0CB47,O75915
P14543,Q9Y6R1
Q9BXT8,A2IDD5
P62258,Q8N5F7
Q6ZQN5,Q8WW27
Q9Y376,Q8N9M5
O95786,Q8TF08
Q8IY92,Q86UK7
P55201,Q93088
Q8J025,A6NH52
Q9NX47,A4D1T9
Q9NYP7,Q969R8
O95749,Q14807
P29965,P0DN25
Q6PHR2,Q86UN6
Q6VAB6,Q96S53
Q6P531,A6NFQ2
A0A087WXS9,Q9H7J1
P00367,P41587
O75636,Q9UIJ7
P08151,Q9Y316
O75674,Q8TCY5
P36406,Q9BQI0
O15027,Q13253
Q9H6H4,P45983
O15258,Q8N2H9
Q6ZW61,Q9Y6Q5
Q9P0L2,O75558
Q9UKN5,Q16795
Q71RH2,Q8NFU3
Q9UHK6,Q68D10
O95376,Q6ZVN7
Q96QA5,A6NIH7
P52735,P32242
Q9GZM5,Q14145
Q01081,Q9BPX6
Q1W209,Q9Y5T5
Q8N302,Q5JPI3
Q8NAG6,Q7Z4H3
Q9UPP2,Q8NGV6
Q96CW1,P23921
Q96EL3,Q969V4
Q08629,Q9Y4X0
O43147,Q9NYH9
Q9H832,P52848
P14678,Q01523
Q9H2Z4,P20807
Q8TDM5,Q9NSI8
Q8NBT0,Q9Y4A5
Q9NQC8,O00180
P18627,P42356
Q00577,P35080
Q8N9N2,Q7L804
P08700,Q9ULG1
Q9NQ84,Q13585
O14763,Q9Y5Y2
Q9NQ87,Q96LB3
Q7L1S5,Q16534
Q9NP81,Q96JB1
Q9UK11,P49450
Q86WA9,Q8IWB1
Q9NZB2,Q9H3E2
Q9NR55,Q8IV36
Q8NAM6,O43765
Q9UI42,Q8WXI4
Q01804,O75444
O00482,Q92826
Q5VWM5,Q9UQM7
Q9P0M4,Q9NV92
Q9UL59,Q96JB5
P50225,Q6ZN11
Q8NDW4,Q8NC51
P22304,O95759
Q8WY36,P23469
Q96GD0,Q9P242
Q99519,Q719H9
Q92572,P03950
Q8TE67,P12272
Q9BVK8,O95073
Q16322,Q8NCK7
P20671,Q9BXR0
P20815,O15446
Q9NPB3,Q96DT5
P11182,Q0GE19
P0C1S8,Q16666
Q8NAA4,Q96KN7
Q969M7,Q9BS86
O96007,Q7RTV3
P16152,Q8IUG5
Q86V81,P01298
Q8TCU6,O76076
O95221,Q9NW13
O75344,Q92754
Q92583,Q5RL73
Q8N8Q3,Q8IYT8
Q9Y4H2,Q8IX01
O75414,Q9UBV8
A6NGH8,O60706
Q96PD5,Q14520
P47914,Q8NG95
Q8IXM3,O75144
Q14833,Q9P2H5
Q9HCE1,P68400
Q49MG5,P28908
P53355,Q9H361
Q96IQ7,A0FGR8
P43629,Q6BCY4
Q18PE1,O95153
P62699,Q6T311
Q9Y6D6,Q8TAA1
O43808,Q9NQ38
Q14593,Q7Z4I7
Q9UQB9,Q14525
P61077,Q9Y3Z3
Q2M385,Q6PJW8
Q7Z7G2,Q9ULC6
Q9UJZ1,Q9Y243
Q9UBG7,Q9H7P6
P0C7M4,Q8N3J5
Q96RL7,Q99727
P52594,Q8NGY6
Q9BRI3,P14210
O00305,Q92599
Q8WXH6,Q8NCQ7
Q96H55,Q4VNC1
Q9UIF8,Q8TBE1
Q8NDX5,P23246
P12081,Q9NQS1
Q8WZ94,P55916
P78314,P17480
P55196,P05177
P49862,P62873
Q9NY74,O43150
Q99469,Q9H190
Q86YL5,Q9Y2R9
O00506,Q99435
Q96CN5,Q9BSU1
O94941,P52943
Q8NH90,Q9H920
P25685,Q9BRL6
Q7L945,P25963
P42126,P58400
Q96T49,Q99808
Q8N2S1,O76099
O43921,Q9BT22
A8MTL0,P62913
Q9Y2K6,Q96S82
Q86SG7,Q04656
Q9H6S3,P42574
Q8IZP6,P62258
P0C869,Q8TAD8
P23769,Q03181
Q16518,Q96C01
Q96DM3,P78524
Q86V88,P50226
Q96NL8,P29475
O75531,C9JQL5
O14967,Q9NYF0
Q8IWV2,Q96MA1
Q15907,Q7Z4W2
Q8N292,Q03468
Q71RH2,P16499
Q76LX8,Q9H267
Q6PJ69,Q8NCG7
Q96G25,O14717
P09017,Q92797
Q7Z7M1,Q14190
Q9NU63,Q9BVS4
Q8TC29,Q8WWP7
Q96GZ6,Q9Y6H3
Q6ISU1,H3BQL2
O77932,O60762
Q13156,Q8TAM6
Q5T2T1,Q96A54
P25800,Q9Y471
P39023,A0A0C4DH29
P07737,O60516
O60682,P03973
Q96A08,O95249
P31277,Q9NYF5
Q9H4X1,Q96PZ2
B0I1T2,P22004
Q9Y4R8,Q9Y3R5
Q13438,Q15058
Q9H0C3,Q8TDU6
Q14141,P01762
P56750,Q8TD20
Q9GZP1,Q7RTV0
Q9Y2B2,P01286
P13584,O60645
Q8N2I9,Q9Y561
P12645,Q96K19
Q5TIA1,O75569
P47871,Q96RY5
P00750,Q9H172
P49841,P09544
Q6NZ36,Q9BRQ8
Q9UHN6,Q8NH50
Q14185,P42229
Q13613,Q86VP3
Q96I82,O95259
Q9H596,P61236
Q9UK05,P51681
