P00352,O60356
P54652,Q8TCY9
P21281,Q9NXH9
O75323,O95140
O15084,Q14185
Q96MT8,Q8WYA0
P35226,Q9UKY7
Q9H7D7,Q15287
Q96A61,Q9Y283
Q9NR77,Q9NY91
Q13705,Q86TG7
P30041,O00193
Q7L2R6,Q9BVN2
Q9NYJ8,Q9Y6C2
Q9UGL1,Q9UJU6
P37088,Q9ULY5
P62424,Q9NY61
P34931,P05412
Q9NZJ5,Q9UN75
Q14318,P42345
Q99661,Q0VDF9
P62258,Q13885
P07900,Q9Y2H9
Q86VM9,P20700
P19320,Q8WXE9
Q14919,Q99877
Q14164,P14373
Q8WZ42,O00468
P23443,P05067
O43865,Q07021
P62877,Q9Y597
P24928,P52657
P78316,Q9UL40
Q99828,P05106
P04637,Q9H0A0
Q9BXB1,P35580
P62906,P05387
Q10713,O00217
Q9UPT9,Q70EK9
Q96HY6,Q9H1X3
P78362,P82932
P02545,Q9H2H8
P12830,P01876
Q15286,O75781
Q3SY00,O94868
O60346,O43313
Q9HB19,Q9NY65
P22681,Q96B02
O95816,Q15637
P55196,Q8TEP8
Q14839,Q9Y2K2
Q9HAU4,Q9NYN1
P31946,Q676U5
Q53HI1,Q8IUN9
Q9P0M9,P22492
Q9BQQ3,O75317
Q06124,P35916
Q13571,Q92995
P78527,P10827
Q8NEY8,P51878
Q9Y4X5,Q9H3F6
Q92888,Q9Y2W2
P02786,P15291
Q15942,Q9Y5A9
Q99459,Q9UL68
Q02083,Q8NBN3
Q8TDN6,Q53GS7
Q02241,Q8IUD2
O00567,Q8WVC0
Q16630,Q9HD26
Q06787,Q9BXF3
P01106,P15407
P51148,Q15042
Q86X55,Q6P1W5
Q9UGJ0,P51172
P30041,Q13794
Q9HCE1,Q00839
P46940,O00429
Q69YN4,Q6IE81
P04183,P29074
P46527,P78396
P01112,Q9NQ66
Q4G148,Q96F46
Q7Z406,Q86SQ7
O43889,Q96JW4
P06454,Q96CN7
O95292,Q9P2D3
P18077,Q8WYA6
O75955,Q15149
Q96S59,P25398
P15153,P98172
Q6NUS6,Q9BU23
O00148,Q8N616
Q6ZMZ3,Q9UM82
Q9NVP1,P13637
Q6IAA8,Q96J84
P55884,P49116
P68363,O15372
P22735,O95989
P17081,Q15262
Q9BYC9,P46199
P62805,Q96QE3
Q15006,Q12874
Q99615,Q3B7T1
O00746,Q9NPH0
Q92731,P49137
P50750,Q9UKV3
P22087,O60264
Q96RL7,Q9NX40
O95292,Q6WCQ1
P62424,P25398
Q96HR8,P0DMU8
Q69YN4,Q9BWM7
Q92665,Q92879
Q9BYG3,Q6DKI1
Q96QR8,Q9ULW3
Q9Y240,Q9NRR4
P14136,Q8IXJ6
Q8TB72,Q9BQQ7
Q12824,O95644
Q9Y5X3,Q9BQ52
P62829,Q9NPG4
O15151,Q9Y4L5
Q9NQW6,Q8N4C6
P29508,Q9NRC1
P49753,Q7L8L6
Q69YN4,Q08AD1
Q16625,P23142
Q9H7H0,Q5T700
Q04206,P35998
Q6P1J9,Q99459
Q9NPJ6,Q96CW1
Q9BY14,P00749
Q96EY7,P01127
O14526,Q9NRQ2
O00483,P56385
P62829,Q9Y5F2
Q13618,P24385
Q12830,O14929
P15408,O94762
P03886,Q9NX14
Q15118,P61073
P27797,O00418
P62072,Q8N4F0
Q92522,O95376
Q12789,Q9Y6H1
P04637,P62899
P10244,P78396
P35568,O75815
P35527,Q6UY01
Q8WWV3,Q16740
P27487,O75083
P02786,Q4G0W2
P01100,P24385
P62701,P62854
P14618,Q9BRV3
P55771,Q9P0W2
P62910,P62891
O00712,Q8IVH2
P61244,Q9BW11
Q04864,Q9UJK0
Q9Y5Y6,P98155
P53804,Q9Y4R8
Q9Y5B9,Q92541
Q8NHQ1,P54253
Q8TDI0,P53999
P62750,Q8TBF4
Q9Y512,Q9NWS8
P45984,Q86YW9
P09661,Q96C86
P02786,P19320
Q07343,Q6WCQ1
P51784,O43684
Q96RL7,P19087
Q7L5Y9,Q6PDA7
O60343,Q99549
O00167,Q6W2J9
P06401,Q15233
P24522,Q9H8E8
Q12837,Q6WN34
O95486,Q9HCJ0
O96020,Q9UM13
Q99832,Q5VU57
Q92794,P04196
Q8IW35,Q6ZMZ3
P51116,Q13557
Q9HDC5,Q969X5
Q15818,O96009
Q86UP2,P11712
Q14534,Q9Y6C5
P52735,P84022
Q12888,Q9H0E3
P48788,Q969Q1
P61956,Q12873
Q8N3F8,Q9H9F9
P43353,P17987
Q4G0J3,Q13895
P06239,Q15116
O75581,Q9H2R5
Q9H267,Q96EB1
P14866,Q9NZ94
P27695,P29590
Q9ULG6,Q70JA7
P38919,P05412
P10276,O43707
P13647,Q7Z3Y7
Q01167,P49450
Q9H6Z9,Q6NXT1
Q6PI48,Q6P587
P13612,Q9NSD9
Q8NEN9,Q9NQ34
Q08379,Q9HC52
P62899,Q9UP38
P48729,P83731
P63208,O14818
P10147,O60911
Q16478,Q13002
Q10713,Q7L8L6
P60953,Q9P0V9
P49023,P17066
Q9NR77,P33681
Q01844,O75607
P84095,Q86X29
P68366,Q14952
O95816,P82094
Q9NX00,P40200
P63104,O43524
O95202,O14880
Q15418,Q7Z6J2
O60356,P47813
P0C0S5,P57053
O95229,Q13099
Q5XPI4,Q8IYM0
P35613,P20309
Q66K64,P49773
Q15717,Q96JP5
Q99731,P14416
P05067,Q15125
Q8TBK6,Q96ST3
O60885,P61970
P84095,O00165
P27448,Q9UNP9
P67936,Q01628
Q15050,Q53GS7
Q9Y3S2,Q8TAQ5
Q8IWI9,Q9GZS1
Q15910,P84103
Q69YN4,P02794
Q9BXB1,Q15758
Q9HCN8,Q92791
O00712,Q9UHF7
Q9NQW6,O60518
P01106,P40939
P54274,O60907
Q9H0R8,Q9UH92
Q93009,Q3KNV8
Q01726,Q68CR1
Q00535,P37231
Q96PM5,Q969F2
Q08945,Q13825
Q96JY6,Q8IW36
P05067,Q14999
Q9Y2X9,Q9H4P4
Q96LZ3,Q9Y2K2
O95487,P60468
Q9BW27,Q8NDX6
Q9UQM7,Q8TEV9
Q6PKC3,Q99784
Q9Y5X3,Q30KP8
Q9H3N1,P53701
P35611,P07951
Q12873,P78563
P09382,Q92508
P51114,Q9P1Z2
P63279,Q9UJX5
P61158,Q7RTP6
P50454,P60468
P24385,P17098
Q93034,P04629
P50750,Q9H0G5
P60953,Q5M775
P04637,Q86T24
Q9UKV8,Q15393
P49450,Q13129
P05412,P56279
P13639,P07919
Q13619,Q9UI17
Q02543,Q96DA6
Q9NZT1,O75787
Q99460,Q9P2W7
Q7Z5G4,Q92979
P62330,P53365
Q9ULZ3,Q9NX36
Q9BYJ9,O43414
P50416,Q9Y5F6
P08684,P20815
Q13616,Q01081
P33778,P26368
Q99496,Q32MZ4
O15379,P49716
Q9H4M7,Q9GZT3
P10275,Q8TBZ3
Q9UNP9,Q9H5Z1
O43914,P26012
P01116,Q96A65
P28335,O15355
P27487,P49458
P62979,Q96CW1
Q92769,Q9BQ52
O15205,P25789
Q07666,O43586
Q13501,O00571
P68104,Q14684
Q08J23,P46060
Q00535,Q16623
Q92934,Q9Y5J7
P11308,Q14669
P01112,Q14126
Q96FF9,Q6NUS8
Q13489,P05109
P04637,O95251
P10620,Q6NUS6
Q02878,P50991
Q15075,Q6IAA8
P22694,P13497
P17028,Q9Y520
O14792,Q92186
Q96T76,Q2VPK5
P01112,Q86UP2
P04637,Q9BSC4
Q8N5R6,Q8TD31
O43166,P51784
P49427,P62820
Q9Y3C5,Q6P1L5
Q8TDM6,Q9P0V9
P28340,Q9BV68
P05067,Q5MNZ6
Q9BQD3,Q96CN5
O60763,Q9UNI6
P68366,Q9NVU0
P60981,O95425
Q93084,Q6IAN0
Q15654,Q6NXE6
Q9P2G3,Q53GT1
O95817,P51805
P49366,P52744
Q9NQC7,Q5VT06
Q9Y3U8,Q96CS4
Q16576,O75874
P08134,Q9ULF5
Q14257,P13051
P35637,P39060
O60936,Q9NQW7
P78317,O95551
P99999,P02750
Q14164,O00487
Q9HD42,Q9UN37
P02745,P20138
Q9BYD3,Q15434
Q96MU7,A0AV96
Q14576,Q96DU9
Q9H9D4,P98155
P62079,Q14145
P59768,P32246
Q14192,Q8WY41
P21926,Q9NPA3
Q9UGP8,Q92545
Q14203,Q9BSE2
P04637,Q13200
Q9Y2R9,Q6ZN04
O15357,Q8WWZ1
Q09028,P54198
Q69YN4,O43166
Q15910,P06576
Q66GS9,Q4KMZ1
P01112,P51617
Q8WWQ0,O15409
O60381,Q02880
Q86SX6,Q99807
Q9NVC6,O95988
O95273,Q9BZE7
P27824,Q96HR8
P84095,P41597
Q9UNF1,Q86VZ6
P06576,Q8N6Q3
Q96SB3,Q07890
P07910,Q00839
P29317,Q9BZE0
Q08379,O00506
O95793,P42677
P02545,Q8NHP6
Q03252,Q99442
P23284,Q9NZQ7
Q99569,Q08379
P40926,Q9HBL8
Q13352,Q96BT3
Q9BYD1,Q5T7N2
Q92731,Q9Y2R4
A7MD48,Q15973
Q99832,Q8TEB1
O95793,Q9NVX2
Q9H6Z9,Q9NP61
P04233,P46821
Q7Z3C6,Q3LI66
Q15058,P46781
P27824,O14656
Q9H204,Q96RN5
Q7L5Y9,A5PL33
O95985,P04637
P84095,Q5BJD5
P19320,P32969
P20339,Q9Y5X3
P60520,P21796
Q9H3Z4,Q13433
Q12888,O95453
Q6P5Z2,O15516
P29144,Q9Y4A9
P17028,Q6PK04
P27694,Q8WXE1
Q9NUL7,Q14197
P53634,Q7Z3E5
Q92820,P29966
Q9NQ34,P30926
Q92820,P49641
Q9Y2S7,P0C7P0
P51153,Q9H9S0
Q8WWF6,Q4G0F5
Q9NPI1,Q53H12
Q9Y490,Q2M1Z3
Q9NZR1,O75366
Q13049,O60478
Q9H4E5,Q9C0D5
P48059,Q5T749
Q13283,Q8TCG1
Q9H6Z9,Q9P0J7
P27986,P61981
P55198,Q02930
O43559,Q8NEC5
Q13619,P49591
Q969Q0,Q86V97
P46379,Q8WW22
P50402,Q6NUQ4
Q8N680,Q9UGU0
Q96FJ2,P31943
P63000,P36776
Q9BYD2,Q7Z7H8
P37173,P09471
P04075,P37802
Q06710,O60315
P07947,Q96DZ1
Q5T9A4,Q5TEU4
Q7Z4V0,Q5T619
P48431,Q70CQ2
Q9C0B0,P45973
Q15155,P62072
P17081,Q7Z2W4
Q01804,P29558
Q9BZV1,Q9NRG9
Q13224,Q13972
Q99742,Q9HBZ2
P50416,P51970
Q9P2N5,P22749
Q02750,P36894
Q5JTH9,Q86VP6
Q9NY72,Q68G75
P32241,Q6Y1H2
P62701,Q96AG4
Q9GZX7,Q96PU5
O60506,Q8N9I0
Q8TEM1,Q13438
Q15843,Q15046
Q86WK6,Q15848
Q14108,P59780
Q15029,Q8IUD2
Q9H444,Q6NYC8
Q15058,Q14651
O95711,Q8NCW0
P49116,P62906
O75886,Q92932
Q9BXX0,Q9UKU6
P41162,Q96JK4
Q6NUN9,P35749
Q14192,Q92754
Q9UK85,Q6YHK3
Q9NPF0,Q6ZS82
P48730,Q16526
O00308,P14678
O00148,P10914
Q13671,Q99750
Q15102,Q14103
Q6ZMP0,Q9UK22
Q15311,P0C1Z6
Q9UBB9,Q9P2K3
P46937,P62820
P52198,Q7Z7G8
P20290,P42677
P37231,Q9UHF7
P35226,O43365
Q9BTE7,Q9P0S3
O14974,Q8NFJ9
Q6VN20,O14960
Q8NFF5,Q9NRC1
O95696,Q9H4I3
P05412,P04844
Q8NE86,P41231
P28074,P78345
P05067,Q96PE7
P62745,Q9NS86
P30273,P57105
O14980,P19784
Q9Y478,Q9UBX3
Q86UY6,Q5T5U3
P60468,Q6ZWT7
P51532,P15036
Q8TA86,Q3SYF9
Q9NYZ3,Q9NRJ7
P17980,Q9BXJ9
Q8IWL3,Q4J6C6
P42166,Q9NQB0
P09211,Q9BYR6
Q12952,P54253
Q13200,P56524
O00165,Q9NP58
Q9NU19,Q96L46
Q9NTZ6,Q9NPL8
P35222,O75030
Q9H4E5,Q7L2E3
P63104,Q9UL15
Q13555,Q9UGI9
P01106,Q9NPA8
P40939,P56377
Q99081,Q86Y33
P51151,Q9Y5Z9
P51572,Q96AG4
Q69YN4,Q04695
Q99418,Q13488
Q13153,P68400
Q9Y265,P21281
Q14008,Q9H8H2
Q9Y3D9,P36776
Q1KMD3,O15042
Q9NRG0,Q8IZU0
Q9UKX7,Q15648
P31689,O60763
P62736,P18621
Q9Y6Q9,P43699
Q12778,P29590
P61964,Q08211
P13682,Q01850
Q9UPY8,P28838
P51970,P0C7P0
P49005,Q400G9
Q9H6Z9,Q15369
Q8IWL3,Q9HCM4
P24522,P10276
P60468,Q15042
O94874,P62280
Q03060,Q9BQY4
P04899,Q96LB2
P01112,Q8WTV0
O95793,Q14512
O00165,P04350
Q9BTW9,Q9Y2S2
O75190,O95219
Q13895,Q9H4L5
P14373,P12035
P08670,P62258
Q96AG4,O60285
Q9HCH3,Q99747
P56851,Q86XS8
Q86VM9,Q9H5Z1
Q12873,Q9NR30
P48594,P28358
Q69YN4,Q9UPN9
Q96RP9,Q9NSE4
P37840,Q9Y483
P09237,P10915
P61964,Q15046
Q12824,O00712
Q8TBC4,O15294
Q9UHB6,P21359
O43242,P28074
O14967,Q06136
O75528,P01036
P15259,Q9BSH5
P41002,Q01469
Q15276,Q8IZ57
O75712,P21964
O14965,P62888
Q6UX01,O60427
P34059,P20718
P05787,Q01804
Q13642,P50461
Q8N0U8,Q16626
P04440,P26885
P05412,Q8IWS0
P27348,P02675
P43897,P30038
P05067,Q13620
Q8TAP4,O95498
P27708,P42166
Q9UHB6,Q9UQC2
Q9UJU2,Q16236
P29034,P26447
Q8IZ73,A0PJX4
P07900,Q9H4L4
Q00577,O43818
P23396,P83731
P08962,P13866
Q14203,Q9BTE1
P54274,Q9UNF0
O00429,Q96FN4
Q92844,P19012
Q15262,Q495W5
Q9GZQ8,Q8TEM1
Q4U2R6,O75570
P46108,Q9Y2J2
Q12874,Q9UDV6
Q13515,Q2M2I5
Q9H4M7,P48634
P35222,Q5XUX0
P15311,Q9H7E2
P02511,P01100
P59768,Q96CX2
Q92769,P52594
Q8NC69,P62699
P46100,Q9UER7
P46776,Q3BBV0
P62937,P60842
O15198,Q86UK5
Q9H4M9,Q96F44
O43809,P29372
P38398,Q9GZX5
P16871,O95183
O75694,Q02487
Q9P2J5,O00178
P50458,O15014
P49639,Q86TH1
P61956,P15408
Q9GZV5,Q15561
Q9C0F1,Q86VQ0
P04629,P53004
Q99519,P16278
O00410,P04554
Q14498,Q92997
P01106,Q9UGJ1
P54829,Q8WVC6
Q9BSJ5,Q9P2R7
P02452,O00339
P82094,Q9Y6Q5
Q8TDW7,Q76LX8
Q5TD94,Q8WYR4
Q6ZSA7,Q6L9W6
P46940,Q96JC9
Q96T76,P35414
P84090,P49711
P03372,P62917
Q9BQ66,Q9BYR9
O00398,Q8NHH9
Q13490,Q16186
Q9P2J5,Q15046
